,id,longitude,latitude,time,NDVI,EVI,DetailedQA,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,ViewZenith,SolarZenith,RelativeAzimuth,DayOfYear,SummaryQA,datetime
20,0,13.471360579477375,53.073589879886484,2001.0,6627.217391304348,2944.478260869565,7213.695652173913,353.04347826086956,1811.4347826086957,271.5652173913044,433.5217391304348,2489.478260869565,5409.521739130435,-820.3913043478261,184.34782608695653,0.6086956521739131,1970-01-01
21,1,13.471360579477375,53.073589879886484,2002.0,7261.95652173913,3351.8695652173915,6277.086956521739,312.0869565217391,1940.0869565217392,234.52173913043478,434.2173913043478,2269.1739130434785,5324.695652173913,3816.1739130434785,184.7391304347826,0.6956521739130435,1970-01-01
22,2,13.471360579477375,53.073589879886484,2003.0,6436.304347826087,3224.9565217391305,3629.5652173913045,817.2173913043479,2432.3478260869565,656.695652173913,699.8260869565217,1700.7391304347825,5383.173913043478,6311.260869565217,168.82608695652175,1.0,1970-01-01
23,3,13.471360579477375,53.073589879886484,2004.0,6590.782608695652,3161.304347826087,5767.652173913043,524.6521739130435,2100.5652173913045,449.1304347826087,518.8695652173913,2494.3478260869565,5414.130434782609,3100.478260869565,168.69565217391303,0.9130434782608695,1970-01-01
24,4,13.471360579477375,53.073589879886484,2005.0,7066.478260869565,3038.8260869565215,6951.04347826087,327.30434782608694,1844.695652173913,233.6086956521739,392.7826086956522,1427.0434782608695,5388.0,-116.3913043478261,184.65217391304347,0.5217391304347826,1970-01-01
25,0,13.473606367687674,53.073589879886484,2001.0,6861.173913043478,3125.5652173913045,7213.695652173913,333.04347826086956,1875.391304347826,271.5652173913044,433.5217391304348,2489.478260869565,5409.521739130435,-820.3913043478261,184.34782608695653,0.6086956521739131,1970-01-01
26,1,13.473606367687674,53.073589879886484,2002.0,7216.478260869565,3273.913043478261,6277.086956521739,374.8695652173913,2012.695652173913,234.52173913043478,434.2173913043478,2269.1739130434785,5324.695652173913,3816.1739130434785,184.7391304347826,0.6956521739130435,1970-01-01
27,2,13.473606367687674,53.073589879886484,2003.0,6516.565217391304,3264.5652173913045,3629.5652173913045,793.1739130434783,2394.782608695652,656.695652173913,699.8260869565217,1700.7391304347825,5383.173913043478,6311.260869565217,168.82608695652175,1.0,1970-01-01
28,3,13.473606367687674,53.073589879886484,2004.0,6779.173913043478,3260.782608695652,5767.652173913043,584.1304347826087,2203.1304347826085,449.1304347826087,518.8695652173913,2494.3478260869565,5414.130434782609,3100.478260869565,168.69565217391303,0.9130434782608695,1970-01-01
29,4,13.473606367687674,53.073589879886484,2005.0,7094.260869565217,3058.913043478261,6951.04347826087,327.30434782608694,1857.5652173913043,233.6086956521739,392.7826086956522,1427.0434782608695,5388.0,-116.3913043478261,184.65217391304347,0.5217391304347826,1970-01-01
